user,answer-id,answer_valence,answer_arousal,peak_time,peak_value
5900,0,1,2.596832275390625,732,0.2418701144700517
5900,1,5,3.210645751953125,403,-0.5320556652200317
5900,2,1,2.0765368652343748,258,-0.06643066371003492
5900,3,5,4.3143420410156255,507,0.5149414055799806
5900,4,5,3.27659912109375,527,0.20063476812015857
5900,5,1,2.682451171875,674,0.24194335745002782
5900,6,1,2.0457482910156255,516,0.2922119128000471
5900,7,3.053638916015625,2.985198974609375,716,-0.1710449234399949
5900,8,5,4.397482910156249,683,-0.20190429414993538
5900,9,1,2.032850341796876,342,0.44484862927992985
5900,10,2.978864746093749,1,616,-0.08161621461993462
5900,11,2.500211181640625,2.566357421875,1868,0.11501465189010318
5900,12,3.3326721191406246,2.56923828125,448,0.12375488156995829
5900,13,2.0306530761718746,4.444617919921876,564,0.2849121130500354
5900,15,5,3.11557861328125,668,-0.5189453112699471
5900,16,3.6578881835937485,3.4868896484375,289,-0.8327148481700011
5900,17,2.94528564453125,2.805777587890625,735,0.4367675816999306
5900,18,3,3,283,0.3529296905500221
5900,20,3.8183862304687497,3.495372314453125,317,-0.3648193401899693
5900,21,3.565379638671875,2.3504858398437496,663,0.18508301481009504
5900,23,3.825390625,3.6197460937500003,468,1.004003903200033
5900,24,4.108227539062501,3.383477783203125,749,0.15346680024998882
5900,25,2.783670654296875,2.4308569335937498,488,-0.19587402468002146
5900,26,3,2.65588623046875,1035,0.3518798839400077
5900,27,2.801998291015625,2.691435546875,394,0.016967779550055795
5900,28,3.6792065429687493,3.0392993164062503,877,-0.12299804506005252
5900,29,3,3,498,0.19196777662013353
5900,30,1.4039208984375002,3.334085693359375,800,0.17119140490003915
5900,31,2.6845776367187497,2.684134521484375,697,0.13305664297994646
5900,32,5,5,266,-0.2904785163300616
5900,33,1.9569384765624998,2.4635852050781253,955,0.21721191457995204
5900,34,3.005125732421875,2.061834716796875,839,0.3739501910700831
5900,35,1.547757568359375,2.63842529296875,735,0.43588866770005374
5900,36,2.779666748046875,2.768580322265625,212,-0.10935058443999957
5900,37,2.670616455078125,3,924,0.09609374510996815
5900,38,3,2.3812829589843747,475,0.06137694765998347
5900,40,1.7514038085937496,3.3259423828125,842,0.39821777086001475
5900,41,5,4.5478491210937495,495,-0.3365478566299913
5900,42,1.5180993652343746,2.423193359375,732,-0.6511230500000398
5900,43,2.4124523925781247,2.4803369140625,710,0.17336425851009984
5900,44,2.848419189453125,2.8171484375,1985,0.4390869111499871
5900,45,1.6647143554687505,3.710947265625,918,0.5202636694500402
5900,46,2.571448974609375,2.72781005859375,405,0.6002197229900297
5900,48,3.64592529296875,3.2632434082031248,663,0.0825439472500964
5900,49,1,1.0930725097656253,918,1.055737307949947
5900,50,3.7479736328125,3.764129638671875,641,0.002929689379968181
5900,51,3.420340576171875,2.6461718750000003,493,-0.060839844409828814
5900,52,3.6534631347656252,4.04345703125,781,0.38261718975005365
5900,53,2.958138427734375,3.260107421875,450,-0.03229980923994802
5900,54,2.3662438964843746,3,394,-0.5970214865599175
5900,55,3.70728515625,2.974603271484375,661,-0.11440429486993864
5900,57,3.77299560546875,3.196275634765625,1444,-0.11220703260008591
5900,58,3.41300537109375,3.0714306640625,492,-0.14345703111004937
5900,59,3.1088623046875,3,3300,2.9791015694500196
